question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
20,What should you do when you drive in windy weather?,Maintain a constant speed in exposed areas,Anticipate how the weather may affect other road users,Always keep to your intended route,Stay close to smaller or vulnerable vehicles as you overtake them,Anticipate how the weather may affect other road users
21,High-sided vehicles can be affected by side wind. On which type of road is this most likely?,Narrow country lanes,Open roads,Slip roads,Motorway underpasses,Open roads
22,When do long vehicles sometimes need to straddle lanes?,When turning at tight junctions,When travelling empty,When driving on motorways,When coming to contraflow systems,When turning at tight junctions
23,"At an incident, a casualty is unconscious but still breathing. Why would you move them?",Because an ambulance is on the way,Because bystanders advise you to,Because there's further danger,Because they look uncomfortable,Because there's further danger
24,Why may coaches be subject to a search by immigration authorities at international ports?,For national security,To check for red diesel,For tachograph regulations,To check vehicle condition,To check vehicle condition
25,Your vehicle is fitted with an engine management system. What will happen if you press the accelerator when you're starting the engine?,An excessive amount of fuel will be used,There'll be an excessive build-up of air pressure,Exhaust emissions will be reduced,Oil consumption will be reduced,An excessive amount of fuel will be used
26,What's the national speed limit for buses and coaches on a dual carriageway?,55 mph,60 mph,65 mph,70 mph,60 mph
27,You've just overtaken another large vehicle. How do you know when it's safe to move back to the nearside lane?,By waiting for the driver you've overtaken to flash their headlights,By checking your nearside mirror,By using your hazard warning lights as a signal,"By moving to the nearside, hoping the other vehicle will slow down",By checking your nearside mirror
28,"The time is 10am. You've been driving non-stop since 6am. Under EU rules, what's the longest you may now drive without a break?",15 minutes,30 minutes,40 minutes,45 minutes,45 minutes
29,What does this sign mean?,Buses only,Bus lane,No buses,Bus stop,Bus lane
30,You're the driver of a bus displaying reflective yellow school-bus signs. When are you allowed to use hazard warning lights?,When parked to take a rest period,When children are boarding the bus,When slowing down to approach a bus stop,When slowing down to find a parking space,When children are boarding the bus
31,What should you do if you're asked to leave your bus by an official who isn't in uniform?,Comply with the request,Ask to see a warrant card,Refuse to leave the vehicle,Invite the official aboard,Ask to see a warrant card
32,"What should you do when making a short stop, facing uphill?",Hold the vehicle on the clutch,Hold the vehicle on the footbrake,Select neutral and apply the parking brake,Apply the parking brake after stopping,Hold the vehicle on the footbrake
33,"On a coach with high side windows, it can be difficult to see either side. What should you do before you move off in one of these vehicles?",Get out of your vehicle and stop the traffic,Ask a passenger to make sure it's safe to move off,Indicate before checking all of your mirrors,Open the window and look down and round to the right,Ask a passenger to make sure it's safe to move off
34,You're stopped by a police officer for a suspected motoring offence. Which document will you always be asked to produce?,Your driving licence,Your vehicle registration document,Your vehicle's MOT certificate,Your theory test certificate,Your driving licence
35,What must you be aware of when you're driving a bus with a high driving position?,The blind area close in front,Passengers will have to look up to you,Your judgement of speed will be impaired,The lack of headroom in the cab,The blind area close in front
36,What must the driver do when they leave their bus unattended?,Check that the tachograph chart is removed,Check that the gear lever is in reverse,Check that the gear lever is in first,Check that the parking brake is applied,Check that the parking brake is applied
37,What problem may you have when driving at night?,It's more difficult to keep to speed limits,There'll be an increase in traffic,You'll have reduced visibility,It takes longer to stop,You'll have reduced visibility
38,The bus you're driving is fitted with automatic transmission. When would you use kickdown?,When stopping in an emergency,When changing to a higher gear,When driving at slow speed,When needing brisk acceleration,When needing brisk acceleration
39,"You're driving on a motorway after it's been raining heavily. What should you do if spray is being thrown up, causing poor visibility?",Keep a two-second gap,Reduce your separation distance,Remove spray-suppression equipment,Use dipped headlights,Use dipped headlights
40,Which road user is sometimes allowed to share a bus lane?,Learner driver,Lorry driver,Disabled driver,Taxi driver,Taxi driver
41,Where should you park your vehicle before checking the engine oil level?,On sloping ground,On a steep gradient,On flat ground,On a downhill slope,On flat ground
42,You're driving on a single carriageway road. What should you do when you see horse riders ahead?,Move into the middle of the road,Check your mirrors and prepare to slow down,Switch on your vehicle's hazard warning lights,Signal right to show you're going to pass them,Check your mirrors and prepare to slow down
43,You're parking your coach at a coastal resort. What should you do if your passengers will still have access to the vehicle?,Ask the passengers to take all of their belongings,Park with the gear lever in neutral,Ensure the storage lockers are left open,Leave a responsible person on the coach,Leave a responsible person on the coach
44,Why could it be dangerous to wave people across at pedestrian crossings?,There may be another vehicle coming,They may be distracted,They may not see your signal,They may not be ready to cross,There may be another vehicle coming
45,You hit the kerb at speed. What part of your vehicle should you check for damage?,Exhaust,Brakes,Lights,Tyres,Tyres
46,What's your main responsibility as a bus driver?,The safety and comfort of your passengers,Keeping to a strict timetable,The collecting of fares,The issuing of tickets,The safety and comfort of your passengers
47,You're entering a roundabout. What should you do if a cyclist in front of you is signalling to turn right?,Overtake on the right,Sound the horn,Overtake on the left,Allow plenty of room,Allow plenty of room
48,When should you use your vehicle's horn?,To warn others of your presence,To allow you right of way,To greet other road users,To signal your annoyance,To warn others of your presence
49,You're driving a fully loaded coach that's 12 metres long. What should you do when you approach this sign?,Don't proceed past the sign but find another route,Set down all your passengers at a safe place before the sign,Stop and check the legal lettering on the side panel,Proceed as normal; the sign doesn't apply to you,Don't proceed past the sign but find another route
50,You're approaching a large puddle near the left-hand kerb. What should you do if pedestrians are close to the water?,Ignore the puddle,Brake suddenly and sound your horn,Try to avoid splashing the pedestrians,Wave at the pedestrians to keep back,Try to avoid splashing the pedestrians
