question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
12,What should you do when you leave your motorcycle parked?,Remove the battery lead,Pull it onto the kerb,Use the steering lock,Leave the parking lights on,Use the steering lock
13,Where would you expect to see these markers?,On a motorway sign,On a railway bridge,On a heavy goods vehicle,On a diversion sign,On a railway bridge
14,You're about to overtake. What should you do when you see this sign?,Overtake the other driver as quickly as possible,Move to the right to get a better view,Switch your headlights on before overtaking,Hold back until you can see clearly ahead,Hold back until you can see clearly ahead
15,How should you ride a motorcycle when new tyres have just been fitted?,"Slower-than-normal, until the shiny surface is worn off","By braking hard, especially into bends","Normally, but with higher tyre pressures",By riding at faster-than-normal speeds,"Slower-than-normal, until the shiny surface is worn off"
16,You're following a large vehicle that's travelling at 40 mph. Where should you position your motorcycle?,"Close behind the vehicle, to make it easier to overtake","To the left of the road, to make it easier to be seen","Close to the vehicle, to keep out of the wind","Well back, so that you can see past the vehicle","Well back, so that you can see past the vehicle"
17,When may you stop on a clearway?,Never,When it's busy,In the rush hour,During daylight hours,Never
18,"You're giving an arm signal, ready to turn left. Why should you return your hand to the handlebars while you turn?",Because you might hit a pedestrian on the corner,To help you keep control of the steering,Because you'll need to hold the clutch lever,To stop other motorists thinking that you're stopping on the corner,To help you keep control of the steering
19,What helps to reduce traffic bunching on a motorway?,Variable speed limits,Contraflow systems,National speed limits,Lane closures,Variable speed limits
20,What does a traction control system (TCS) help to prevent?,Wheelspin when accelerating,Skidding when braking too hard,Uneven front tyre wear,Uneven rear tyre wear,Wheelspin when accelerating
21,Why should you be careful when you're riding on roads where trams also operate?,Trams cannot steer to avoid you,Trams give off harmful exhaust fumes,Trams are noisy and slow,Trams can brake very quickly,Trams cannot steer to avoid you
22,Why is it particularly important to carry out a check of your motorcycle before making a long motorway journey?,You'll have to do more harsh braking on motorways,Motorway service stations do not deal with breakdowns,The road surface will wear down the tyres faster,Continuous high speeds increase the risk of your motorcycle breaking down,Continuous high speeds increase the risk of your motorcycle breaking down
23,What could happen if you ride your motorcycle when it has a very loose drive chain?,The front wheel could wobble,The ignition could cut out,The brakes could fail,The rear wheel could lock,The rear wheel could lock
24,You've just passed your practical motorcycle test. This is your first full licence. What will you have to do if you accumulate 6 or more penalty points within the next 2 years?,Retake only your theory test,Reapply for your full licence immediately,Retake only your practical test,Reapply for your provisional licence,Reapply for your provisional licence
25,"You've stopped at a pelican crossing, where a disabled person is crossing very slowly in front of you. What should you do when the lights change to green?",Allow the person to finish crossing,Edge forward slowly,Ride behind the person,Sound your horn,Allow the person to finish crossing
26,What's the 'lifesaver' when riding a motorcycle?,A certificate every motorcyclist must have,A final rearward glance before changing direction,A part of the motorcycle tool kit,A mirror fitted to check blind spots,A final rearward glance before changing direction
27,Which arm signal means 'I intend to slow down or stop'?,,,,,REQUIRES OPTIONS (image-based)
28,You're travelling along a motorway. When are you allowed to overtake on the left?,When you can see well ahead that the hard shoulder is clear,When the traffic in the right-hand lane is signalling right,When you warn drivers behind by signalling left,When in queues and traffic to your right is moving more slowly than you are,When in queues and traffic to your right is moving more slowly than you are
29,The road outside this school is marked with yellow zigzag lines. What do these lines mean?,You may park on the lines when dropping off schoolchildren,You may park on the lines when picking up schoolchildren,You must not wait or park your motorcycle here,You must stay with your motorcycle if you park here,You must not wait or park your motorcycle here
30,How should you give an arm signal to turn left?,,,,,REQUIRES OPTIONS (image-based)
31,Why are young and new motorcyclists involved in more incidents than other motorcyclists?,They use borrowed equipment,They lack experience and judgement,They ride in bad weather conditions,They do not maintain their motorcycles,They lack experience and judgement
32,What are the minimum test vehicle requirements for a motorcycle used to obtain a full category 'A' licence?,"Solo, with a maximum power of at least 25 kW (33 bhp)","Solo, with a maximum power of at least 11 kW (14.6 bhp)","Fitted with a sidecar, and with a maximum power of at least 35 kW (46.6","bhp) Solo, with a maximum power of at least 50 kW (67 bhp)","Solo, with a maximum power of at least 50 kW (67 bhp)"
33,"At an incident, someone is suffering from severe burns. How could you help them?",Apply lotions to the injury,Burst any blisters,Remove anything sticking to the burns,"Douse the burns with clean, cool water","Douse the burns with clean, cool water"
34,What does this sign mean?,No parking for solo motorcycles,Parking for solo motorcycles,Passing place for motorcycles,Police motorcycles only,Parking for solo motorcycles
35,What do you need before you can legally use a motor vehicle on the road?,An appropriate driving licence,Breakdown cover,Proof of your identity,A vehicle handbook,An appropriate driving licence
36,What does this sign mean?,Side winds,Airport,Slippery road,Service area,Side winds
37,What should you use to clean visors and goggles?,Petrol,White spirit,Anti-freeze,Soapy water,Soapy water
38,A casualty is not breathing normally and needs cardiopulmonary resuscitation (CPR). At what rate should you press down and release on the centre of their chest?,10 times per minute,120 times per minute,60 times per minute,240 times per minute,120 times per minute
39,How can you see spilt fuel on a wet road?,By a rainbow-coloured pattern on the road surface,By a series of skid marks on the road surface,By a dull non-reflective road surface,By a highly polished road surface,By a rainbow-coloured pattern on the road surface
40,What’s likely to happen if you get cold and wet when you're riding a motorcycle?,Your concentration will be impaired,Your riding will improve,Your visor will freeze up,Your reactions will be quicker,Your concentration will be impaired
41,How will wearing brightly coloured clothing improve your safety while you’re riding a motorcycle?,You'll blend into the background,It will be easier for other road users to see you,You'll distract other road users,It will allow you to ride faster on unlit roads at night,It will be easier for other road users to see you
42,You're riding slowly in a town centre. Why should you glance over your left shoulder before turning left?,To check for cyclists,To help keep your balance,To look for traffic signs,To check for potholes,To check for cyclists
43,Which lane must not be used by a motorcyclist?,Crawler lane,Overtaking lane,Acceleration lane,Tram lane,Tram lane
44,What is a known effect of drinking alcohol?,Faster reactions,Colour blindness,Poor judgement,Increased concentration,Poor judgement
45,What lights should you use if you're riding at night on a busy main road?,Main-beam headlights,Daytime running lights,Dipped-beam headlights,Rear fog lights,Dipped-beam headlights
46,"You travel to work in the town centre on your 1,000 cc motorcycle. It's a dull, wet day. There are many trams in town, and a bus is indicating to pull out from a bus stop. At the first junction, you have to cross tramlines. On the main high street, you see specifically shaped signs for tram drivers. Ahead, you see a large vehicle indicating to turn left. How can you improve your visibility in this weather?",By using main-beam headlights,By using hazard warning lights,By using dipped headlights,By using front and rear fog lights,By using dipped headlights
47,"You travel to work in the town centre on your 1,000 cc motorcycle. It's a dull, wet day. There are many trams in town, and a bus is indicating to pull out from a bus stop. At the first junction, you have to cross tramlines. On the main high street, you see specifically shaped signs for tram drivers. Ahead, you see a large vehicle indicating to turn left. How should you react to the bus?",Rev the engine and sound the horn,Keep going past but slow down a little,Speed up quickly to get past the bus,Allow it to pull out if it's safe to do so,Allow it to pull out if it's safe to do so
48,"You travel to work in the town centre on your 1,000 cc motorcycle. It's a dull, wet day. There are many trams in town, and a bus is indicating to pull out from a bus stop. At the first junction, you have to cross tramlines. On the main high street, you see specifically shaped signs for tram drivers. Ahead, you see a large vehicle indicating to turn left. Why should you take care at the first junction?",The tyres could get stuck between the tracks,The lines could be very slippery,The motorcycle's tyres could stick to the metal,The gaps in the lines could be full of water,The tyres could get stuck between the tracks
49,"You travel to work in the town centre on your 1,000 cc motorcycle. It's a dull, wet day. There are many trams in town, and a bus is indicating to pull out from a bus stop. At the first junction, you have to cross tramlines. On the main high street, you see specifically shaped signs for tram drivers. Ahead, you see a large vehicle indicating to turn left. What shape are the signs you see?",Triangle,Diamond,Hexagon,Rectangle,Diamond
50,"You travel to work in the town centre on your 1,000 cc motorcycle. It's a dull, wet day. There are many trams in town, and a bus is indicating to pull out from a bus stop. At the first junction, you have to cross tramlines. On the main high street, you see specifically shaped signs for tram drivers. Ahead, you see a large vehicle indicating to turn left. What should you expect the large vehicle to do next?",Pull a little over to the right,Use the horn to warn others,Pull a little over to the left,Run over the pavement area Review your answers Make sure you review your answers to find out where you need to improve and to get more information about the questions. Click or tap on a topic below to see your answers. Topics Results Alertness 0% (0 of 2) correct Attitude 0% (0 of 2) correct Safety and your motorcycle 0% (0 of 5) correct Safety margins 0% (0 of 3) correct Hazard awareness 0% (0 of 5) correct Vulnerable road users 0% (0 of 5) correct Other types of vehicle 0% (0 of 1) correct Motorcycle handling 0% (0 of 3) correct Motorway riding 0% (0 of 3) correct Rules of the road 0% (0 of 4) correct Road and traffic signs 0% (0 of 6) correct Essential documents 0% (0 of 2) correct Incidents 0% (0 of 2) correct Motorcycle loading 0% (0 of 2) correct Case study 0% (0 of 5) correct,Pull a little over to the right
